Hemera v.2.50.1.20 - Relatório gerado em: 07/02/2024 21:03,,,,,Data da última sumarização: 07/02/2024 19:21:15,,,,,
CAS Hemera - Relatório de disponibilidade,,,,,,,,,,
Filtros:,"Data = 28/01/2024 00:00:00 até 28/01/2024 23:59:59
Medidores = nenhum valor selecionado
Controladores = SDO, SDL, SDT, SDN, SDC
Grupos de Cliente = SDL, SDO, SDC, PGO, IRT, UVI, TEL, SDN, SDT",,,,,,,,,
Cliente,,Ponto de medição,Medidor,Telemetria (MIN),,Ip,Porta,Endereço,Telemetria (SSN),Disponibilidade
SDC-IRT-104106808-INDUSTRIA ,,104106808-INDUSTRIA DE ,31605222,41991265679,,,,Sem endereço,89550680157012174382,"100,00%"
SDC-IRT-104309555-COMPANHIA ,,104309555-COMPANHIA DE ,31604460,41997837323,,,,Sem endereço,89550447000006286842,"100,00%"
SDC-IRT-104310251-DEQUECH ,,104310251-DEQUECH ,31602262,4491590731,,,,Sem endereço,89550640129001648683,"100,00%"
SDC-IRT-104338490-RAFAEL ,,104338490-RAFAEL PEREIRA ,40622838,41992565551,,,,Sem endereço,89550680157003245811,"100,00%"
SDC-IRT-104376384-MUNICIPIO ,,104376384-MUNICIPIO DE ,40620200,11916907927,,,,Sem endereço,89551080157046769359,"100,00%"
SDC-IRT-104435623-TRICON ,,104435623-TRICON ,31605562,,,,,Sem endereço,,"100,00%"
null,,,,,,,,,,
Hemera v.2.50.1.20 - Relatório gerado em: 07/02/2024 21:03,,,,,,,,,,
Hemera v.2.50.1.20 - Relatório gerado em: 07/02/2024 21:03,,,,,Data da última sumarização: 07/02/2024 19:21:15,,,,,
CAS Hemera - Relatório de disponibilidade,,,,,,,,,,
Filtros:,"Data = 28/01/2024 00:00:00 até 28/01/2024 23:59:59
Medidores = nenhum valor selecionado
Controladores = SDO, SDL, SDT, SDN, SDC
Grupos de Cliente = SDL, SDO, SDC, PGO, IRT, UVI, TEL, SDN, SDT",,,,,,,,,
Cliente,,Ponto de medição,Medidor,Telemetria (MIN),,Ip,Porta,Endereço,Telemetria (SSN),Disponibilidade
SDC-IRT-104528575-SAO VICENTE ,,104528575-SAO VICENTE ,40624742,89550447000000711761,,,,Sem endereço,89550447000000711761,"100,00%"
SDC-IRT-104528796-SAO VICENTE ,,104528796-SAO VICENTE ,40624741,41991899983,,,,Sem endereço,89550680157000945793,"100,00%"
SDC-IRT-104689510-INSTITUTO ,,104689510-INSTITUTO DE ,84170111,41995112778,,,,Sem endereço,89550442000103177600,"100,00%"
SDC-IRT-104689633-INSTITUTO ,,104689633-INSTITUTO DE ,33670172,41998801475,,,,Sem endereço,89550447000006286925,"100,00%"
SDC-IRT-104781602-SERGIO ,,104781602-SERGIO ROBERTO ,31605934,41997836157,,,,Sem endereço,89550447000006286065,"100,00%"
SDC-IRT-104871563-COMPANHIA ,,104871563-COMPANHIA DE ,32600336,4191449673,,,,Sem endereço,89550641106001025988,"100,00%"
SDC-IRT-105006343-INSTITUTO ,,105006343-INSTITUTO DE ,51970252,41991745470,,,,Sem endereço,89550680247001187436,"100,00%"
SDC-IRT-105036080-UB UCP ,,105036080-UB UCP ,31605302,41991717742,,,,Sem endereço,89550680247001187337,"100,00%"
SDC-IRT-105150622-EFICIENCIA ,,105150622-EFICIENCIA ,27600791,,,,,Sem endereço,,"0,00%"
SDC-IRT-105150622-EFICIENCIA ,,105150622-EFICIENCIA ,40624672,,,,,Sem endereço,,"100,00%"
SDC-IRT-105150622-EFICIENCIA ,,105150622-EFICIENCIA ,40625348,,,,,Sem endereço,,"0,00%"
SDC-IRT-105305499-RENI PEDRO ,,105305499-RENI PEDRO KUNZ,40620198,41997839191,,,,Sem endereço,89550447000006246499,"100,00%"
SDC-IRT-105531146-EDSON ,,105531146-EDSON ,31601737,49988370847,,,,Sem endereço,89550531420011865413,"100,00%"
SDC-IRT-105712124-,,105712124-CONSTRUTORA ,40620790,41996488332,,,,Sem endereço,89550442000112239532,"100,00%"
SDC-IRT-105799157-COMPANHIA ,,105799157-COMPANHIA ,31604096,,,,,Sem endereço,,"0,00%"
SDC-IRT-105799157-COMPANHIA ,,105799157-COMPANHIA ,40622042,4199098564,,,,Sem endereço,89550442000001311038,"100,00%"
SDC-IRT-105902080-DOIS SALTOS ,,105902080-DOIS SALTOS ,10592902,,,,,Sem endereço,,"0,00%"
SDC-IRT-106010468-EFICIENCIA ,,106010468-EFICIENCIA ,27600601,,,,,Sem endereço,,"0,00%"
SDC-IRT-106010468-EFICIENCIA ,,106010468-EFICIENCIA ,40622057,,,,,Sem endereço,,"100,00%"
SDC-IRT-106050435-CIA PARANA ,,106050435-CIA PARANA DE ,27600570,,,,,Sem endereço,,"0,00%"
SDC-IRT-106050435-CIA PARANA ,,106050435-CIA PARANA DE ,40681784,,,,,Sem endereço,,"0,00%"
SDC-IRT-106093177-ZERO ,,106093177-ZERO RESIDUOS ,40625503,41991375839,,,,Sem endereço,89550680157014756293,"100,00%"
SDC-IRT-106129341-MARTINS ,,106129341-MARTINS ,40620201,4491010895,,,,Sem endereço,89550642311000342934,"100,00%"
SDC-IRT-106187465-INDUSTRIA E ,,106187465-INDUSTRIA E ,31603189,41997837651,,,,Sem endereço,89550447000006222698,"100,00%"
SDC-IRT-106187740-GUAYAKI ,,106187740-GUAYAKI YERBA ,40620806,000100759897,,,,Sem endereço,000100759897,"100,00%"
