UC,LATITUDE,LONGITUDE
76436284,-25.44655,-54.42318
53024982,-25.44842,-54.42252
99564009,-25.43765,-54.42238
63019353,-25.07769,-54.42238
99743450,-25.44559,-54.42237
73907413,-25.44899,-54.42185
97744786,-25.44927,-54.42143
96678852,-25.45079,-54.4213
69851344,-25.45211,-54.42112
97616613,-25.40218,-54.42068
38891255,-25.45184,-54.42063
87498324,-25.43248,-54.42015
88886476,-25.45116,-54.42005
50446380,-25.44763,-54.41867
104949074,-25.32234,-54.4165
27618501,-25.44992,-54.40773
47821124,-25.45249,-54.40681
60758236,-25.44559,-54.40476
58008322,-25.44159,-54.40258
54517958,-25.44102,-54.40147
90027086,-25.44038,-54.40142
68507240,-25.44629,-54.40108
36149730,-25.43551,-54.4008
5498341,-25.44609,-54.40061
85224677,-25.44886,-54.39996
62606131,-25.44547,-54.39921
38345110,-25.44318,-54.39779
73776653,-25.43191,-54.39718
33838410,-25.43286,-54.39491
71966650,-25.43157,-54.39482
63094444,-24.96582,-54.39419
96194138,-25.20755,-54.39335
36235334,-25.41987,-54.38823
45602387,-25.42822,-54.38713
53362101,-24.91623,-54.38684
45603391,-25.42927,-54.38682
83102728,-24.93127,-54.3729
92897975,-24.92132,-54.37196
37334255,-24.93456,-54.37087
94303223,-25.19413,-54.36545
38359693,-25.42754,-54.36393
20772394,-25.42604,-54.36171
61638030,-25.1665,-54.35952
47863161,-24.87885,-54.35287
35984759,-24.87557,-54.34432
34383476,-24.87617,-54.34242
19745702,-24.87242,-54.34224
96158760,-24.84634,-54.34199
42479312,-24.86851,-54.34136
49283006,-24.87139,-54.34129
39980758,-25.14897,-54.34073
48620939,-24.86796,-54.34054
30437415,-25.34116,-54.33981
73438936,-25.13234,-54.33973
96906200,-24.97406,-54.33897
45929092,-24.86603,-54.33741
57155321,-24.87185,-54.33622
47380900,-24.85903,-54.33528
25164961,-24.85692,-54.33507
97176109,-24.85999,-54.33504
10941282,-24.87257,-54.33338
46089756,-24.85873,-54.3329
57154864,-24.84698,-54.33215
87449064,-25.12112,-54.33042
88716350,-24.85859,-54.32872
58921435,-24.85469,-54.32694
68902824,-24.87343,-54.32464
52296334,-24.88927,-54.32444
82246114,-25.11831,-54.32337
