estacao,operadora,municipio,latitude_antena,longitude_antena,tecs
1004007431,Claro,Curitiba,-25.50861,-49.279,3G 4G
1004009957,Vivo,Arapongas,-23.41028,-51.43639,4G
1004010092,Vivo,Guarapuava,-25.35889,-51.49972,4G
1004012982,Claro,Curitiba,-25.45189,-49.35404,3G 4G
1004013261,Claro,Cruzeiro Do Sul,-22.9716,-52.1617,3G 4G
1004014950,Claro,Curitiba,-25.44512,-49.262,3G 4G 5G
1004015000,Claro,Curitiba,-25.43022,-49.27358,3G 4G 5G
1004015035,Claro,Curitiba,-25.4076,-49.25603,3G 4G 5G
1004015043,Claro,Curitiba,-25.44348,-49.27827,3G 4G 5G
1004015086,Claro,Curitiba,-25.53594,-49.28941,3G 4G
1004028480,Tim,Ponta Grossa,-25.080972,-50.169472,3G 4G 5G
1004040013,Claro,Curitiba,-25.42591,-49.25476,3G 4G 5G
1004040633,Vivo,Arapongas,-23.41028,-51.43639,4G
1004040757,Vivo,Guarapuava,-25.35889,-51.49972,4G
1004041125,Tim,Itaguaje,-22.615194,-51.969333,3G 4G
1004041389,Tim,Matinhos,-25.80833,-48.54944,3G 4G
1004045880,Tim,Colombo,-25.375,-49.191,3G 4G 5G
1004047174,Tim,Reserva Do Iguacu,-25.917,-51.898889,3G 4G
1004047182,Tim,Londrina,-23.34056,-51.13417,3G 4G
1004047247,Tim,Londrina,-23.304389,-51.221806,4G
1004047735,Tim,Cascavel,-24.96167,-53.48194,3G 4G 5G
1004049037,Claro,Londrina,-23.25701,-51.14654,2G 3G 4G 5G
1004049657,Claro,Curitiba,-25.3813,-49.27115,2G 3G 4G
1004061649,Tim,Piraquara,-25.453167,-49.078639,3G 4G
1004062653,Tim,Cambe,-23.314194,-51.2845,2G 3G 4G
1004062718,Tim,Diamante Do Sul,-25.03972,-52.68444,3G 4G
1004064451,Tim,Guaratuba,-25.92833,-48.58167,3G 4G
1004064524,Tim,Guaratuba,-25.892528,-48.563306,3G 4G
